	Imax	E	PIL	Mt	TsW	NbxW	MeanD	Eday_of_week	class
0	0,009793707022296311	0,6429056294375807	0,16767173571054012	0,0002524913386944672	0,0027891024519587117	0,015463917525773198	0,21506849315068494	0,36558871238159774	0
1	0,019795790789747865	0,44005213007666266	0,16767173571054012	0,0003972074958147056	0,0010951154136283811	0,005154639175257733	0,7890410958904109	0,3012094677344017	0
2	0,004792665138570535	0,5396953498226219	0,17979811221814365	0,0008453207429135492	0,0032989414697418094	0,015463917525773198	0,4452054794520548	0,5710120218341747	0
3	0,004792665138570535	0,2947940910684279	0,16767173571054012	0,0008717573970938109	0,0005423743016168602	0,0	0,0	0,0	0
4	0,004792665138570535	0,5027071564878544	0,16767173571054012	0,00040800099442606834	0,0016667965806169986	0,010309278350515465	0,5059360730593606	0,390861803309617	0
5	0,004792665138570535	0,6298891436126862	0,16767173571054012	0,00010131875608626012	0,0013570477648457298	0,005154639175257733	0,9013698630136986	0,0	0
6	0,004792665138570535	0,36362258775430434	0,16767173571054012	0,00047442157116802915	0,0005227526916311181	0,0	0,0	0,0	0
7	0,02062929777036883	0,6872570030383337	0,16767173571054012	0,0002264828597881744	0,004854285870787144	0,030927835051546393	0,17847358121330723	0,37125951823272785	0
8	0,019795790789747865	0,7688270888850436	0,16767173571054012	0,00034088870137052537	0,014913105144172734	0,10309278350515468	0,09184605348988913	0,9369622239839616	0
9	0,009793707022296311	0,5067401436667471	0,16767173571054012	0,000619373712861513	0,002718471830273288	0,025773195876288665	0,17351598173515984	0,736138576124823	0
10	0,008126693061054386	0,5771633248235921	0,16767173571054012	0,00034575267957515294	0,0019128020674217888	0,010309278350515465	0,4511415525114155	0,3520569183474627	0
11	0,0022921441967076474	0,27586388085148295	0,16767173571054012	0,000803520769801328	0,00043895729688396275	0,0	0,0	0,0	0
12	0,014794748906022087	0,0	0,16767173571054012	0,0037469724628237237	0,0002603181419863462	0,0	0,0	0,0	0
13	0,0022921441967076474	0,5229576518212835	0,16767173571054012	0,00015726067897537502	0,0007350032698498323	0,0	0,0	0,0	0
14	0,005001041883725776	0,32642825777566475	0,16767173571054012	0,0006599831446064546	0,0005308596091023752	0,0	0,0	0,0	0
15	0,0014586372160866848	0,261841398700006	0,16767173571054012	0,001418139984140633	0,0024774524564264854	0,03608247422680413	0,2089041095890411	0,6118316996868616	0
16	0,004792665138570535	0,27586388085148295	0,16767173571054012	0,000405983140380093	0,00024123460174427144	0,0	0,0	0,0	0
17	0,009793707022296311	0,5426048741211311	0,16767173571054012	0,0007795454018522227	0,005586993376397328	0,04123711340206185	0,20578386605783874	0,6449385334817082	0
18	0,019795790789747865	0,2947940910684279	0,16767173571054012	0,0018977499463933632	0,0011255701611199624	0,005154639175257733	0,9589041095890412	0,390861803309617	0
19	0,1885809543654928	0,6559799156586222	0,16767173571054012	0,0004172630542482864	0,005192480640340303	0,030927835051546393	0,2771037181996086	0,5645001826242395	0
20	0,0022921441967076474	0,45597019849546094	0,16767173571054012	0,0007379664877557412	0,0017857099939675206	0,015463917525773198	0,3150684931506849	0,5885687324126881	0
21	0,0022921441967076474	0,40165329768745595	0,16767173571054012	0,0004689755283426827	0,0006811604241668357	0,0	0,0	0,0	0
22	0,0014586372160866848	0,524238473761414	0,16767173571054012	0,00030599320695795767	0,0013919505555516295	0,005154639175257733	0,1589041095890411	0,3785344163190478	0
23	0,0022921441967076474	0,27586388085148295	0,16767173571054012	0,0009209357300150019	0,000497355799730011	0,0	0,0	0,0	0
24	0,0022921441967076474	0,4372482980546361	0,16767173571054012	0,0006746271088741974	0,0017616403407674597	0,02061855670103093	0,37479452054794526	0,7728186027260595	0
25	0,029797874557199417	0,15574585992587858	0,16767173571054012	0,0023697267132903586	0,0005142870609974157	0,0	0,0	0,0	0
26	0,009793707022296311	0,09826469702280931	0,16767173571054012	0,0008814127581494653	0,0001268768455568012	0,0	0,0	0,0	0
27	0,0022921441967076474	0,4773680306287764	0,16767173571054012	0,00016732079485553975	0,0005499072780282054	0,0	0,0	0,0	0
28	0,029797874557199417	0,32642825777566475	0,16767173571054012	0,0033918066326196453	0,002471892402408587	0,015463917525773198	0,3095890410958904	0,6882935831472392	0
29	0,004792665138570535	0,40975641687456654	0,16767173571054012	0,0007943812828968988	0,001138196864438027	0,005154639175257733	0,23287671232876714	0,38737377596535744	0
30	0,0022921441967076474	0,32642825777566475	0,16767173571054012	0,0007064803343176067	0,0005638970913635609	0,0	0,0	0,0	0
31	0,0022921441967076474	0,19652939404561862	0,16767173571054012	0,001814890540732746	0,0005325096896496224	0,0	0,0	0,0	0
32	0,0031256511773286103	0,27586388085148295	0,16767173571054012	0,00041074320633470137	0,0002436021086164085	0,0	0,0	0,0	0
33	0,0022921441967076474	0,27586388085148295	0,16767173571054012	0,0013669394855195221	0,0007191840193860072	0,0	0,0	0,0	0
34	0,014794748906022087	0,6419708508055467	0,16767173571054012	0,0001311923632320772	0,0016387452113137988	0,005154639175257733	0,5095890410958904	0,3866237287688476	0
35	0,0022921441967076474	0,21971262540987763	0,16767173571054012	0,0008044583585499629	0,0004394236239951413	0,005154639175257733	0,7068493150684931	0,0	0
36	0,009793707022296311	0,521799790437501	0,16767173571054012	0,00048112118059650427	0,0042839678138158165	0,04123711340206185	0,17838660578386606	0,49344029022605285	0
37	0,0010418837257762034	0,09826469702280931	0,16767173571054012	0,0007875096388631	0,00011353271591384672	0,0	0,0	0,0	0
38	0,004792665138570535	0,48973042361919916	0,23341636077608807	0,0006359000083437311	0,0017263070942666262	0,010309278350515465	0,1132420091324201	0,2913944484405361	0
39	0,0060429256095019795	0,576391233348809	0,16767173571054012	3,616761663477477e-05	0,0006839583868339068	0,0	0,0	0,0	0
40	0,0022921441967076474	0,40975641687456654	0,16767173571054012	0,00021219877183743278	0,0003936159531509131	0,0	0,0	0,0	0
41	0,0010418837257762034	0,5332755611892105	0,16767173571054012	7,195755795927315e-05	0,0005811153231609215	0,0	0,0	0,0	0
42	0,013127734944780162	0,28634107422771576	0,16767173571054012	0,0016408989839318605	0,0013519540379390107	0,005154639175257733	0,336986301369863	0,36962249197452796	0
43	0,0022921441967076474	0,2540105569486879	0,16767173571054012	0,0006718977339352623	0,00031821444640497124	0,0	0,0	0,0	0
44	0,004792665138570535	0,2540105569486879	0,16767173571054012	0,0006740854410154107	0,0003191471006273283	0,0	0,0	0,0	0
45	0,009793707022296311	0,35831625741614864	0,16767173571054012	0,0015113714261361707	0,0022850387160909804	0,010309278350515465	0,06392694063926939	0,4998723406105737	0
46	0,004792665138570535	0,5156860071061993	0,08272155217619297	0,0008020707337609286	0,002438567949617444	0,010309278350515465	0,41643835616438357	0,5948161755815942	0
47	0,005001041883725776	0,5546263671686629	0,16767173571054012	0,0001387437756780671	0,0009781031800388178	0,005154639175257733	0,18356164383561643	0,38380314669696547	0
48	0,0060429256095019795	0,6240780563456607	0,16767173571054012	0,0001398961167102323	0,0015070974806964785	0,010309278350515465	0,6264840182648401	0,17313562788519737	0
49	0,006459679099812461	0,6476285677487503	0,16767173571054012	0,00015604047038646676	0,0027616250237154235	0,025773195876288665	0,06118721461187213	0,7406433152127283	0
50	0,004792665138570535	0,3741285778742924	0,16767173571054012	0,0007214096320843332	0,000809687350270884	0,0	0,0	0,0	0
51	0,004792665138570535	0,09826469702280931	0,23341636077608807	0,0014084818793051956	0,00020177615387531996	0,0	0,0	0,0	0
