	CustomerID	Imax	E	PIL	Mb	MeanD	EDate	class
0	17850.0	12	4,3356433544517525	2,5669999999999997	156,86029411764704	0,0	0,0	2
1	13047.0	32	6,5031115403479145	2,5669999999999997	356,2322222222222	35,0	2,2264237029378937	2
2	12583.0	360	6,504978723856246	2,752	442,9693333333333	24,266666666666666	2,235083561859707	2
4	15100.0	32	0,0	2,5669999999999997	292,0	13,0	0,9182958340544896	1
5	15291.0	144	5,737287322508223	2,5669999999999997	330,2357142857143	24,42857142857143	1,8908099868306327	2
6	14688.0	120	6,809252287603169	2,5669999999999997	265,1009523809523	17,0	2,177843172605048	2
7	17809.0	144	5,440223928941852	2,5669999999999997	445,49250000000006	29,41666666666667	1,940178385820146	2
8	15311.0	288	8,65635526211226	2,5669999999999997	666,5812222222222	3,588888888888889	2,2199808080804218	2
9	16098.0	50	4,778317922733982	2,5669999999999997	286,51857142857136	40,285714285714285	1,7714712899202525	2
10	18074.0	48	3,7004397181410926	2,5669999999999997	489,6	0,0	0,0	0
12	16029.0	2400	4,929618332611108	2,5669999999999997	969,8974999999997	5,283333333333333	2,257514695287872	2
13	16250.0	24	4,418295834054488	2,5669999999999997	194,72	56,0	0,9798687566511528	0
14	12431.0	336	7,137368218593862	1,271	421,0993333333333	22,13333333333333	2,249442555903868	2
15	17511.0	600	8,429370483490809	2,5669999999999997	2856,657419354838	11,483870967741936	2,240077471435277	2
17	13747.0	8	0,0	2,5669999999999997	79,6	0,0	0,0	0
18	13408.0	192	7,571948778318593	2,5669999999999997	452,2909677419353	5,693548387096773	2,2287818193247753	2
19	13767.0	288	5,1975687921995375	2,5669999999999997	464,53810810810813	9,594594594594595	2,2004299385418533	2
20	17924.0	120	4,607264455478377	2,5669999999999997	423,21428571428584	51,42857142857143	0,547553154980007	2
21	13448.0	48	6,962312109983488	2,5669999999999997	578,1033333333334	59,16666666666666	1,8376627135504748	2
23	15513.0	160	7,265637690770397	2,5669999999999997	767,6726315789474	17,57894736842105	2,156807784359696	2
