CustomerID	I	Iu	Imax	E	PIL
17850.0	1707	21	12	4.335643354451753	2,567
13047.0	1386	105	32	6.5031115403479145	2,567
12583.0	4992	113	360	6.504978723856246	2,752
13748.0	439	24	80	4.494680368408908	2,567
15100.0	80	1	32	0.0	2,567
15291.0	2102	61	144	5.737287322508223	2,567
14688.0	3580	147	120	6.809252287603168	2,567
17809.0	2017	46	144	5.440223928941851	2,567
15311.0	37932	567	288	8.65635526211226	2,567
16098.0	613	34	50	4.778317922733981	2,567
18074.0	190	13	48	3.7004397181410926	2,567
17420.0	265	28	24	4.773557262275186	2,567
16029.0	32203	41	2400	4.929618332611109	2,567
16250.0	208	22	24	4.418295834054489	2,567
12431.0	2855	160	336	7.137368218593862	1,271
17511.0	63149	452	600	8.429370483490807	2,567
13705.0	363	25	32	4.566108939837481	2,567
13747.0	8	1	8	0.0	2,567
13408.0	16172	233	192	7.571948778318592	2,567
13767.0	7311	54	288	5.1975687921995375	2,567
17924.0	1160	26	120	4.607264455478377	2,567
13448.0	1639	137	48	6.962312109983489	2,567
15862.0	585	142	108	7.126509844821638	2,567
15513.0	5553	182	160	7.265637690770397	2,567
12791.0	96	1	96	0.0	0,875
16218.0	2084	55	100	5.518179003891944	2,567
14045.0	535	4	147	1.9182958340544893	2,567
14307.0	2058	150	96	7.130633374059363	2,567
17908.0	173	51	28	5.603586383021304	2,567
17920.0	2514	406	288	8.36653437102371	2,567
12838.0	359	115	12	6.806295907760665	2,567
13255.0	177	13	72	3.7004397181410926	2,567
16583.0	111	14	12	3.8073549220576055	2,567
18085.0	265	25	16	4.582118926162054	2,567
13758.0	1844	104	288	6.648142497361172	2,567
13694.0	62328	364	1600	8.301291744892692	2,567
15983.0	892	82	48	6.202706064089377	2,567
14849.0	5670	158	144	6.936113201333063	2,567
17968.0	160	74	8	6.127037994961236	2,567
16210.0	7558	73	960	5.700908648896434	2,567
17897.0	229	100	12	6.574032338688197	2,567
17377.0	2076	190	36	7.165530039698519	2,567
16552.0	219	17	48	4.08746284125034	2,567
17181.0	241	23	144	4.523561956057013	2,567
17951.0	616	18	96	4.1219280948873624	2,567
14729.0	197	69	16	6.093409091335662	2,567
12748.0	24079	1755	576	10.348166141631932	2,567
15012.0	231	110	12	6.712852441389348	2,567
12868.0	928	72	24	5.974746425491722	2,567
17572.0	95	7	18	2.688721875540867	2,567
14078.0	310	46	25	5.28737646670819	2,567
14001.0	962	34	100	5.028991962451991	2,567
12662.0	2023	126	60	6.682979653477227	3,570
15525.0	412	132	24	6.918158468888639	2,567
14237.0	38	9	12	3.169925001442312	2,567
17905.0	407	33	125	5.028639311838574	2,567
15485.0	1306	59	80	5.745691208039531	2,567
