	CustomerID	I	Iu	Imax	E	PIL	Mb	Ts	MeanD	MaxD	MinD	EDate
0	17850.0	1707	21	12	4,335643354451753	2,567	156,86029411764704	5333,250000000008	0,0	0,0	0,0	0,0
1	13047.0	1386	105	32	6,5031115403479145	2,567	356,2322222222222	3206,090000000001	35,0	70,0	0,0	2,2264237029378937
2	12583.0	4992	113	360	6,504978723856246	2,752	442,96933333333334	6644,539999999994	24,266666666666666	72,0	0,0	2,235083561859707
3	13748.0	439	24	80	4,494680368408908	2,567	189,64999999999998	948,2499999999998	55,4	136,0	0,0	1,1779653169582593
4	15100.0	80	1	32	0,0	2,567	292,0	876,0	13,0	32,0	0,0	0,9182958340544896
5	15291.0	2102	61	144	5,737287322508223	2,567	330,2357142857143	4623,300000000002	24,428571428571427	77,0	0,0	1,8908099868306327
6	14688.0	3580	147	120	6,809252287603168	2,567	265,1009523809523	5567,119999999997	17,0	48,0	0,0	2,1778431726050482
7	17809.0	2017	46	144	5,440223928941851	2,567	445,49250000000006	5345,910000000001	29,416666666666668	69,0	0,0	1,940178385820146
8	15311.0	37932	567	288	8,65635526211226	2,567	666,5812222222223	59992,31000000012	3,588888888888889	21,0	0,0	2,2199808080804218
9	16098.0	613	34	50	4,778317922733981	2,567	286,5185714285714	2005,6300000000003	40,285714285714285	74,0	0,0	1,7714712899202523
10	18074.0	190	13	48	3,7004397181410926	2,567	489,6	489,6	0,0	0,0	0,0	0,0
11	17420.0	265	28	24	4,773557262275186	2,567	199,60999999999999	598,8300000000002	107,33333333333333	202,0	0,0	1,524097983068835
12	16029.0	32203	41	2400	4,929618332611109	2,567	969,8974999999997	58193,84999999996	5,283333333333333	23,0	0,0	2,2575146952878717
13	16250.0	208	22	24	4,418295834054489	2,567	194,72	389,44000000000005	56,0	112,0	0,0	0,9798687566511527
14	12431.0	2855	160	336	7,137368218593862	1,271	421,09933333333333	6316,489999999998	22,133333333333333	73,0	0,0	2,249442555903868
15	17511.0	63149	452	600	8,429370483490807	2,567	2856,6574193548386	88556,37999999995	11,483870967741936	28,0	0,0	2,240077471435277
16	13705.0	363	25	32	4,566108939837481	2,567	237,28666666666666	711,8600000000001	121,66666666666667	228,0	0,0	1,5600508789044927
17	13747.0	8	1	8	0,0	2,567	79,6	79,6	0,0	0,0	0,0	0,0
18	13408.0	16172	233	192	7,571948778318592	2,567	452,29096774193533	28042,039999999983	5,693548387096774	22,0	0,0	2,228781819324775
19	13767.0	7311	54	288	5,1975687921995375	2,567	464,5381081081081	17187,910000000007	9,594594594594595	37,0	0,0	2,2004299385418533
